" |Title","Inputs|#Targ","Inputs|#NTarg","Inputs|#Sys","Actual Decision DCR Analysis|#CorDet","Actual Decision DCR Analysis|#Cor!Det","Actual Decision DCR Analysis|#FA","Actual Decision DCR Analysis|#Miss","Actual Decision DCR Analysis|RFA","Actual Decision DCR Analysis|PMiss","Actual Decision DCR Analysis|DCR","Actual Decision DCR Analysis|Dec. Tresh","Minimum DCR Analysis|RFA","Minimum DCR Analysis|PMiss","Minimum DCR Analysis|DCR","Minimum DCR Analysis|Dec. Thresh","DET Curve Graphs|DET Curve","DET Curve Graphs|Threshold Curve"
"CellToEar Eventsed1113","176","9026","9195","22","8746","280","154","15.55556"," 0.875","0.9528","0.4996","81.55556"," 0.477","0.8851"," 0.320","output.det.CellToEar_Event.png","output.det.CellToEar_Event.thresh.png"
"Embrace Eventsed1113","155","6658","6790","92","5208","1450","63","80.55556"," 0.406","0.8092","0.5002","96.22222"," 0.303","0.7843"," 0.465","output.det.Embrace_Event.png","output.det.Embrace_Event.thresh.png"
"Pointing Eventsed1113","888","8750","9530","328","7599","1151","560","63.94444"," 0.631","0.9504","0.5000","54.16667"," 0.675","0.9454"," 0.530","output.det.Pointing_Event.png","output.det.Pointing_Event.thresh.png"
