" |Title","Inputs|#Targ","Inputs|#NTarg","Inputs|#Sys","Actual Decision DCR Analysis|#CorDet","Actual Decision DCR Analysis|#Cor!Det","Actual Decision DCR Analysis|#FA","Actual Decision DCR Analysis|#Miss","Actual Decision DCR Analysis|RFA","Actual Decision DCR Analysis|PMiss","Actual Decision DCR Analysis|DCR","Actual Decision DCR Analysis|Dec. Tresh","Minimum DCR Analysis|RFA","Minimum DCR Analysis|PMiss","Minimum DCR Analysis|DCR","Minimum DCR Analysis|Dec. Thresh","DET Curve Graphs|DET Curve","DET Curve Graphs|Threshold Curve"
"CellToEar Eventsed1113","176","2822","2959","32","2498","324","144","18.00000"," 0.818","0.9082","0.5005","87.72222"," 0.392","0.8307"," 0.178","output/.det.CellToEar_Event.png","output/.det.CellToEar_Event.thresh.png"
"Embrace Eventsed1113","155","1585","1717","100","1003","582","55","32.33333"," 0.355","0.5165","0.5005","41.44444"," 0.290","0.4975"," 0.395","output/.det.Embrace_Event.png","output/.det.Embrace_Event.thresh.png"
"Pointing Eventsed1113","888","2230","2847","237","1731","499","651","27.72222"," 0.733","0.8717","0.5005","59.05556"," 0.539","0.8347"," 0.243","output/.det.Pointing_Event.png","output/.det.Pointing_Event.thresh.png"
