" |Title","Inputs|#Targ","Inputs|#NTarg","Inputs|#Sys","Actual Decision DCR Analysis|#CorDet","Actual Decision DCR Analysis|#Cor!Det","Actual Decision DCR Analysis|#FA","Actual Decision DCR Analysis|#Miss","Actual Decision DCR Analysis|RFA","Actual Decision DCR Analysis|PMiss","Actual Decision DCR Analysis|DCR","Actual Decision DCR Analysis|Dec. Tresh","Minimum DCR Analysis|RFA","Minimum DCR Analysis|PMiss","Minimum DCR Analysis|DCR","Minimum DCR Analysis|Dec. Thresh","DET Curve Graphs|DET Curve","DET Curve Graphs|Threshold Curve"
"CellToEar Eventsed","1","1042","1042","0","1018","24","1","1.33333"," 1.000","1.0067","0.5070","0.05556"," 1.000","1.0003"," 0.922","x.det.CellToEar_Event.png","x.det.CellToEar_Event.thresh.png"
"Embrace Eventsed","1","781","782","0","665","116","1","6.44444"," 1.000","1.0322","0.5002","15.22222"," 0.000","0.0761"," 0.343","x.det.Embrace_Event.png","x.det.Embrace_Event.thresh.png"
"Pointing Eventsed","76","849","894","19","735","114","57","6.33333"," 0.750","0.7817","0.4998","21.77778"," 0.421","0.5299"," 0.257","x.det.Pointing_Event.png","x.det.Pointing_Event.thresh.png"
